2025-07-08 20:13:14 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 20:13:14 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 20:13:31 | INFO     | app.services.ocr_service:_init_paddleocr:71 - PaddleOCR初始化成功
2025-07-08 20:13:34 | INFO     | app.services.ocr_service:_init_easyocr:90 - EasyOCR初始化成功
2025-07-08 20:13:34 | WARNING  | app.services.ocr_service:_init_tesseract:116 - Tesseract未安装或配置错误
2025-07-08 20:13:48 | INFO     | app.services.ocr_service:_init_trocr:147 - TrOCR模型初始化成功: microsoft/trocr-base-printed
2025-07-08 20:13:48 | INFO     | app.services.layout_analyzer:__init__:19 - AI布局分析器初始化完成
2025-07-08 20:13:48 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 20:13:48 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 20:13:48 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 20:13:48 | WARNING  | app.services.text_detection_service:_init_dbnet:41 - DBNet模型文件不存在: models\models\text_recognition\dbnet_resnet50.pth
2025-07-08 20:13:48 | INFO     | app.services.text_detection_service:_init_dbnet:42 - 将使用OpenCV文本检测作为替代
2025-07-08 20:13:48 | INFO     | app.services.element_detector:__init__:21 - 元素检测器初始化完成
2025-07-08 20:13:51 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 20:13:51 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 20:13:51 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 20:13:52 | INFO     | app.services.layout_detection_service:_init_yolov8:49 - 使用YOLOv8预训练模型
2025-07-08 20:13:52 | INFO     | app.services.layout_detection_service:_init_yolov8:56 - YOLOv8布局检测模型初始化成功
2025-07-08 20:13:52 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 20:13:52 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 20:13:52 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 20:14:09 | INFO     | app.services.ocr_service:_init_paddleocr:71 - PaddleOCR初始化成功
2025-07-08 20:14:12 | INFO     | app.services.ocr_service:_init_easyocr:90 - EasyOCR初始化成功
2025-07-08 20:14:12 | WARNING  | app.services.ocr_service:_init_tesseract:116 - Tesseract未安装或配置错误
2025-07-08 20:14:25 | INFO     | app.services.ocr_service:_init_trocr:147 - TrOCR模型初始化成功: microsoft/trocr-base-printed
2025-07-08 20:14:25 | INFO     | app.services.layout_analyzer:__init__:19 - AI布局分析器初始化完成
2025-07-08 20:14:25 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 20:14:25 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 20:14:25 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 20:14:25 | WARNING  | app.services.text_detection_service:_init_dbnet:41 - DBNet模型文件不存在: models\models\text_recognition\dbnet_resnet50.pth
2025-07-08 20:14:25 | INFO     | app.services.text_detection_service:_init_dbnet:42 - 将使用OpenCV文本检测作为替代
2025-07-08 20:14:25 | INFO     | app.services.element_detector:__init__:21 - 元素检测器初始化完成
2025-07-08 20:15:15 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 20:15:15 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 20:15:15 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 20:15:16 | INFO     | app.services.layout_detection_service:_init_yolov8:49 - 使用YOLOv8预训练模型
2025-07-08 20:15:16 | INFO     | app.services.layout_detection_service:_init_yolov8:56 - YOLOv8布局检测模型初始化成功
2025-07-08 20:15:16 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 20:15:16 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 20:15:16 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 20:15:34 | INFO     | app.services.ocr_service:_init_paddleocr:71 - PaddleOCR初始化成功
2025-07-08 20:15:37 | INFO     | app.services.ocr_service:_init_easyocr:90 - EasyOCR初始化成功
2025-07-08 20:15:37 | WARNING  | app.services.ocr_service:_init_tesseract:116 - Tesseract未安装或配置错误
2025-07-08 20:15:51 | INFO     | app.services.ocr_service:_init_trocr:147 - TrOCR模型初始化成功: microsoft/trocr-base-printed
2025-07-08 20:15:51 | INFO     | app.services.layout_analyzer:__init__:19 - AI布局分析器初始化完成
2025-07-08 20:15:51 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 20:15:51 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 20:15:51 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
2025-07-08 20:15:51 | WARNING  | app.services.text_detection_service:_init_dbnet:41 - DBNet模型文件不存在: models\models\text_recognition\dbnet_resnet50.pth
2025-07-08 20:15:51 | INFO     | app.services.text_detection_service:_init_dbnet:42 - 将使用OpenCV文本检测作为替代
2025-07-08 20:15:51 | INFO     | app.services.element_detector:__init__:21 - 元素检测器初始化完成
2025-07-08 20:16:39 | INFO     | app.services.model_manager:_load_config:41 - 模型配置加载成功: models\config\model_config.json
2025-07-08 20:16:39 | INFO     | app.services.model_manager:_get_device:57 - 未检测到CUDA，使用CPU
2025-07-08 20:16:39 | INFO     | app.services.model_manager:__init__:24 - 模型管理器初始化完成，使用设备: cpu
